Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='protein_3', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=606, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 143, loss: 1.360567, train acc: 0.949219, train avg acc: 0.938776
Test 143, loss: 3.584461, test acc: 0.065000, test avg acc: 0.052323
Train 144, loss: 1.354732, train acc: 0.955128, train avg acc: 0.942398
Test 144, loss: 3.473207, test acc: 0.079500, test avg acc: 0.059176
Train 145, loss: 1.352720, train acc: 0.953225, train avg acc: 0.942207
Test 145, loss: 3.849399, test acc: 0.051500, test avg acc: 0.050400
Train 146, loss: 1.332724, train acc: 0.962740, train avg acc: 0.951892
Test 146, loss: 3.539093, test acc: 0.076000, test avg acc: 0.062636
Train 147, loss: 1.317859, train acc: 0.970453, train avg acc: 0.963203
Test 147, loss: 3.519786, test acc: 0.076500, test avg acc: 0.056499
Train 148, loss: 1.309838, train acc: 0.973357, train avg acc: 0.967163
Test 148, loss: 3.485907, test acc: 0.080500, test avg acc: 0.061980
Train 149, loss: 1.307395, train acc: 0.974359, train avg acc: 0.967180
Test 149, loss: 3.428268, test acc: 0.083000, test avg acc: 0.062210
Train 150, loss: 1.305642, train acc: 0.972857, train avg acc: 0.965334
Test 150, loss: 3.647728, test acc: 0.064500, test avg acc: 0.054498
Train 151, loss: 1.293878, train acc: 0.977965, train avg acc: 0.973146
Test 151, loss: 3.412570, test acc: 0.075000, test avg acc: 0.057807
Train 152, loss: 1.291802, train acc: 0.978966, train avg acc: 0.973139
Test 152, loss: 3.496920, test acc: 0.073000, test avg acc: 0.060537
Train 153, loss: 1.285817, train acc: 0.980068, train avg acc: 0.975390
Test 153, loss: 3.489755, test acc: 0.065500, test avg acc: 0.055471
Train 154, loss: 1.284484, train acc: 0.981671, train avg acc: 0.978208
Test 154, loss: 3.447026, test acc: 0.080500, test avg acc: 0.062380
Train 155, loss: 1.275797, train acc: 0.983874, train avg acc: 0.979801
Test 155, loss: 3.470752, test acc: 0.074000, test avg acc: 0.057586
Train 156, loss: 1.275447, train acc: 0.985777, train avg acc: 0.982333
Test 156, loss: 3.375568, test acc: 0.081500, test avg acc: 0.061398
Train 157, loss: 1.267884, train acc: 0.987881, train avg acc: 0.984796
Test 157, loss: 3.426604, test acc: 0.083500, test avg acc: 0.065324
Train 158, loss: 1.266585, train acc: 0.987380, train avg acc: 0.983804
Test 158, loss: 3.396090, test acc: 0.074000, test avg acc: 0.057037
Train 159, loss: 1.263674, train acc: 0.987480, train avg acc: 0.983238
Test 159, loss: 3.452605, test acc: 0.079000, test avg acc: 0.063934
Train 160, loss: 1.259124, train acc: 0.989383, train avg acc: 0.986334
Test 160, loss: 3.408153, test acc: 0.074500, test avg acc: 0.058847
Train 161, loss: 1.253604, train acc: 0.990986, train avg acc: 0.988684
Test 161, loss: 3.347420, test acc: 0.074500, test avg acc: 0.059398
Train 162, loss: 1.256941, train acc: 0.990885, train avg acc: 0.987307
Test 162, loss: 3.386755, test acc: 0.079500, test avg acc: 0.060912
Train 163, loss: 1.250291, train acc: 0.990184, train avg acc: 0.987255
Test 163, loss: 3.348951, test acc: 0.080000, test avg acc: 0.059884
Train 164, loss: 1.242871, train acc: 0.993990, train avg acc: 0.992884
Test 164, loss: 3.409997, test acc: 0.072500, test avg acc: 0.057011
Train 165, loss: 1.243244, train acc: 0.993089, train avg acc: 0.991207
Test 165, loss: 3.407566, test acc: 0.079000, test avg acc: 0.056962
Train 166, loss: 1.238260, train acc: 0.993189, train avg acc: 0.991174
Test 166, loss: 3.395133, test acc: 0.073500, test avg acc: 0.060575
Train 167, loss: 1.240534, train acc: 0.992488, train avg acc: 0.990359
Test 167, loss: 3.370951, test acc: 0.075000, test avg acc: 0.057889
Train 168, loss: 1.238683, train acc: 0.993790, train avg acc: 0.992299
Test 168, loss: 3.409209, test acc: 0.067000, test avg acc: 0.056829
Train 169, loss: 1.234468, train acc: 0.994391, train avg acc: 0.991944
Test 169, loss: 3.372465, test acc: 0.076500, test avg acc: 0.058137
Train 170, loss: 1.235780, train acc: 0.992889, train avg acc: 0.989690
Test 170, loss: 3.323026, test acc: 0.074500, test avg acc: 0.059417
Train 171, loss: 1.233865, train acc: 0.995793, train avg acc: 0.994221
Test 171, loss: 3.439817, test acc: 0.080000, test avg acc: 0.058598
Train 172, loss: 1.229112, train acc: 0.995493, train avg acc: 0.993474
Test 172, loss: 3.440764, test acc: 0.071500, test avg acc: 0.057012
Train 173, loss: 1.226507, train acc: 0.994992, train avg acc: 0.994215
Test 173, loss: 3.358882, test acc: 0.076500, test avg acc: 0.059649
Train 174, loss: 1.225562, train acc: 0.995593, train avg acc: 0.992904
Test 174, loss: 3.407986, test acc: 0.072500, test avg acc: 0.062826
Train 175, loss: 1.227349, train acc: 0.995994, train avg acc: 0.993515
Test 175, loss: 3.319937, test acc: 0.082000, test avg acc: 0.061520
Train 176, loss: 1.219598, train acc: 0.996294, train avg acc: 0.995005
Test 176, loss: 3.342049, test acc: 0.075000, test avg acc: 0.061587
Train 177, loss: 1.221634, train acc: 0.995493, train avg acc: 0.994238
Test 177, loss: 3.360111, test acc: 0.076000, test avg acc: 0.060408
Train 178, loss: 1.215688, train acc: 0.996394, train avg acc: 0.994510
Test 178, loss: 3.370613, test acc: 0.070000, test avg acc: 0.055325
Train 179, loss: 1.217018, train acc: 0.996795, train avg acc: 0.995626
Test 179, loss: 3.329933, test acc: 0.077500, test avg acc: 0.061433
Train 180, loss: 1.218080, train acc: 0.997095, train avg acc: 0.995447
Test 180, loss: 3.356153, test acc: 0.075000, test avg acc: 0.058429
Train 181, loss: 1.213371, train acc: 0.998498, train avg acc: 0.997655
Test 181, loss: 3.306913, test acc: 0.077000, test avg acc: 0.060127
Train 182, loss: 1.210625, train acc: 0.997696, train avg acc: 0.996564
Test 182, loss: 3.321924, test acc: 0.072500, test avg acc: 0.057257
Train 183, loss: 1.211038, train acc: 0.998598, train avg acc: 0.997369
